" wrote:"," wrote:"
"Are you sure?","Are you sure?"
"Edit Media '%s'","Edit Media '%s'"
"Edit Review '%s'","Edit Review '%s'"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
1 star,1 star
2 stars,2 stars
3 stars,3 stars
4 stars,4 stars
5 stars,5 stars
Action,Action
Add Album,Add Album
Add Albums,Add Albums
Add Item,Add Item
Add Media,Add Media
Add Multiple Items,Add Multiple Items
Add New Images,Add New Images
Add Review,Add Review
Add Review,Add Review
Add Your Review,Add Your Review
Album Description,Album Description
Album ID,Album ID
Album Information, Album Information
Album Name,Album Name
Album Name,Album Name
Albums Manager,Albums Manager
Albums,Albums
All,All
Approved,Approved
Are you sure?,Are you sure?
Change status,Change status
Change status,Change status
Created On,Created On
CSV,CSV
Customer Reviews,Customer Reviews
Delete Album,Delete Album
Delete Item,Delete Item
Delete Review,Delete Review
Delete,Delete
Description,Description
Disabled,Disabled
Edit Album %s,Edit Album %s
Edit,Edit
Email,Email
Enabled,Enabled
Exclude,Exclude
Featured Media,Featured Media
Featured,Featured
Gallery Albums Manager,Gallery Albums Manager
Gallery List,Gallery List
Gallery Media Reviews,Gallery Media Reviews
Gallery Media,Gallery Media
Gallery Tab,Gallery Tab
Go to Home Page,Go to Home Page
Home,Home
ID,ID
Image Name,Image Name
Image type and information need to be specified for each store view.,Image type and information need to be specified for each store view.
Image,Image
Item does not exist,Item does not exist
Item was successfully deleted,Item was successfully deleted
Item was successfully saved,Item was successfully saved
Media Albums,Media Albums
Media Images,Media Images
Media Information,Media Information
Media Item Manager,Media Item Manager
Media,Media
Nick Name,Nick Name
Nickname,Nickname
No,No
Not Approved,Not Approved
Pending,Pending
Please select item(s),Please select item(s)
Please,Please
Rating,Rating
Remove,Remove
Review Content,Review Content
Review Information,Review Information
Review Title,Review Title
Review,Review
Reviews,Reviews
Roll Over for Preview,Roll Over for Preview
Save Album,Save Album
Save and Continue Edit,Save and Continue Edit
Save Item,Save Item
Save Review,Save Review
Sort Order,Sort Order
Status,Status
Thanks for your review,Thanks for your review
There are no album,There are no album
There are no media item,There are no media item
Title,Title
to add review,to add review
Total of %d record(s) were successfully updated,Total of %d record(s) were successfully updated
Unable to find item to delete,Unable to find item to delete
Unable to find item to save,Unable to find item to save
Upload Files,Upload Files
URL,URL
ValueId,ValueId
XML,XML
Yes,Yes



















